Data properties:

Recording date: 5/15/2009
Recording time: 12:33:48:000 (corresponds to time 0)
Study: PoPAnalyst-static-image
Subject: P02-arzu
Recording: Rec 02
Screen resolution: 1600 x 1200
Coordinate unit: Pixels


Filter settings:

Eye: Average
Validity: Normal
Fixation filter: ClearView fixation filter
Fixation radius: 50
Min duration: 100

Timestamp	StimuliName	AoiNames	GazePointX	GazePointY	FixationDuration	
5573	statemap.jpg	MN	839	376	450	
5589	statemap.jpg	MN	832	378	450	
5606	statemap.jpg	MN	841	379	450	
5623	statemap.jpg	MN	836	384	450	
5639	statemap.jpg	MN	818	384	450	
5656	statemap.jpg	MN	819	396	450	
5673	statemap.jpg	MN	823	372	450	
5689	statemap.jpg	MN	830	387	450	
5706	statemap.jpg	MN	824	382	450	
5723	statemap.jpg	MN	822	376	450	
5739	statemap.jpg	MN	807	372	450	
5756	statemap.jpg	MN	810	382	450	
5773	statemap.jpg	MN	808	374	450	
5789	statemap.jpg	MN	813	375	450	
5806	statemap.jpg	MN	801	392	450	
5823	statemap.jpg	MN	802	378	450	
5839	statemap.jpg	MN	801	387	450	
5856	statemap.jpg	MN	808	384	450	
5873	statemap.jpg	MN	803	390	450	
5889	statemap.jpg	MN	805	375	450	
5906	statemap.jpg	MN	803	393	450	
5923	statemap.jpg	MN	809	392	450	
5939	statemap.jpg	MN	819	389	450	
5956	statemap.jpg	MN	803	394	450	
5972	statemap.jpg	MN	801	416	450	
5989	statemap.jpg	MN	815	425	450	
6006	statemap.jpg	Content	0	0		
6022	statemap.jpg	Content	0	0		
6039	statemap.jpg	Content	0	0		
6056	statemap.jpg	Content	0	0		
6072	statemap.jpg	Content	0	0		
6089	statemap.jpg	Content	0	0		
6106	statemap.jpg	Content	0	0		
6122	statemap.jpg	Content	0	0		
6139	statemap.jpg	Content	0	0		
6156	statemap.jpg	Content	0	0		
6172	statemap.jpg	Content	842	376		
6189	statemap.jpg	Content	854	367		
6206	statemap.jpg	Content	852	380		
6222	statemap.jpg	Content	857	380		
6239	statemap.jpg	WI	905	418	283	
6256	statemap.jpg	WI	919	408	283	
6272	statemap.jpg	WI	918	411	283	
6289	statemap.jpg	WI	924	400	283	
6306	statemap.jpg	WI	916	403	283	
6322	statemap.jpg	WI	915	401	283	
6339	statemap.jpg	WI	916	393	283	
6355	statemap.jpg	WI	909	398	283	
6372	statemap.jpg	WI	923	403	283	
6389	statemap.jpg	WI	929	404	283	
6405	statemap.jpg	WI	913	403	283	
6422	statemap.jpg	WI	922	404	283	
6439	statemap.jpg	WI	921	403	283	
6455	statemap.jpg	WI	910	408	283	
6472	statemap.jpg	WI	923	415	283	
6489	statemap.jpg	WI	910	409	283	
6505	statemap.jpg	WI	921	405	283	
6522	statemap.jpg	Content	0	0		
6539	statemap.jpg	Content	0	0		
6555	statemap.jpg	Content	0	0		
6572	statemap.jpg	Content	913	423		
6589	statemap.jpg	Content	0	0		
6605	statemap.jpg	Content	0	0		
6622	statemap.jpg	Content	0	0		
6639	statemap.jpg	Content	0	0		
6655	statemap.jpg	Content	0	0		
6672	statemap.jpg	Content	0	0		
6689	statemap.jpg	WI	946	422	400	
6705	statemap.jpg	WI	956	416	400	
6722	statemap.jpg	WI	941	414	400	
6739	statemap.jpg	WI	954	401	400	
6755	statemap.jpg	WI	951	405	400	
6772	statemap.jpg	WI	945	387	400	
6789	statemap.jpg	WI	950	395	400	
6805	statemap.jpg	WI	952	396	400	
6822	statemap.jpg	WI	946	388	400	
6839	statemap.jpg	WI	941	390	400	
6855	statemap.jpg	WI	951	395	400	
6872	statemap.jpg	WI	965	395	400	
6889	statemap.jpg	WI	1006	420	400	
6905	statemap.jpg	WI	1021	396	400	
6922	statemap.jpg	WI	1015	406	400	
6939	statemap.jpg	WI	1012	416	400	
6955	statemap.jpg	WI	1014	405	400	
6972	statemap.jpg	WI	1014	395	400	
6989	statemap.jpg	WI	1007	407	400	
7005	statemap.jpg	WI	1017	413	400	
7022	statemap.jpg	WI	1014	405	400	
7038	statemap.jpg	WI	1010	413	400	
7055	statemap.jpg	WI	1018	381	400	
7072	statemap.jpg	WI	1022	391	400	
7088	statemap.jpg	MI	1053	438	450	
7105	statemap.jpg	MI	1067	483	450	
7122	statemap.jpg	MI	1064	463	450	
7138	statemap.jpg	MI	1057	448	450	
7155	statemap.jpg	MI	1049	442	450	
7172	statemap.jpg	MI	1041	459	450	
7188	statemap.jpg	MI	1050	446	450	
7205	statemap.jpg	MI	1048	453	450	
7222	statemap.jpg	MI	1059	447	450	
7238	statemap.jpg	MI	1051	451	450	
7255	statemap.jpg	MI	1045	449	450	
7272	statemap.jpg	MI	1063	447	450	
7288	statemap.jpg	MI	1055	451	450	
7305	statemap.jpg	MI	1057	439	450	
7322	statemap.jpg	MI	1047	452	450	
7338	statemap.jpg	MI	1044	453	450	
7355	statemap.jpg	MI	1057	445	450	
7371	statemap.jpg	MI	1050	443	450	
7388	statemap.jpg	MI	1047	450	450	
7405	statemap.jpg	MI	1080	452	450	
7421	statemap.jpg	MI	1065	449	450	
7438	statemap.jpg	MI	1077	450	450	
7455	statemap.jpg	MI	1064	453	450	
7471	statemap.jpg	MI	1064	450	450	
7488	statemap.jpg	MI	1075	445	450	
7505	statemap.jpg	MI	1070	435	450	
7521	statemap.jpg	MI	1065	441	450	
7538	statemap.jpg	Content	0	0		
7555	statemap.jpg	Content	0	0		
7571	statemap.jpg	Content	0	0		
